Time: 18/12:41:58 Arduino 0: 2
Time: 18/12:42:4 Arduino 0: 0: 262.27,1: 255.94,2: 250.66,3: 244.34,4: 239.41,5: 233.79,6: 227.11
Time: 18/12:42:4 Arduino 0: 0: 261.91,1: 256.29,2: 249.96,3: 245.04,4: 239.06,5: 233.44,6: 228.16
Time: 18/12:42:4 Arduino 0: 0: 261.56,1: 256.29,2: 250.66,3: 244.34,4: 239.41,5: 233.44,6: 227.46
Time: 18/12:42:5 Arduino 0: 0: 261.21,1: 255.94,2: 250.31,3: 245.04,4: 238.36,5: 233.44,6: 228.16
Time: 18/12:42:5 Arduino 0: 0: 262.27,1: 257.70,2: 251.37,3: 245.04,4: 239.77,5: 233.44,6: 228.16
Time: 18/12:42:5 Arduino 0: 0: 265.43,1: 258.75,2: 252.77,3: 246.80,4: 239.77,5: 234.49,6: 228.52
Time: 18/12:42:5 Arduino 0: 0: 268.24,1: 261.91,2: 254.18,3: 248.55,4: 241.88,5: 234.84,6: 229.57
Time: 18/12:42:5 Arduino 0: 0: 270.35,1: 263.67,2: 256.99,3: 249.96,4: 243.28,5: 236.95,6: 229.57
Time: 18/12:42:5 Arduino 0: 0: 272.81,1: 266.48,2: 258.40,3: 252.07,4: 245.04,5: 238.01,6: 232.03
Time: 18/12:42:5 Arduino 0: 0: 275.63,1: 268.95,2: 261.21,3: 253.48,4: 247.15,5: 239.77,6: 232.38
Time: 18/12:42:5 Arduino 0: 0: 279.84,1: 271.05,2: 262.97,3: 256.29,4: 247.85,5: 241.17,6: 234.84
Time: 18/12:42:5 Arduino 0: 0: 280.55,1: 273.16,2: 265.43,3: 257.70,4: 250.31,5: 242.93,6: 235.90
Time: 18/12:42:5 Arduino 0: 0: 283.71,1: 275.27,2: 267.54,3: 260.16,4: 251.72,5: 245.04,6: 237.66
Time: 18/12:42:5 Arduino 0: 0: 285.12,1: 278.09,2: 269.30,3: 261.91,4: 254.18,5: 245.74,6: 239.06
Time: 18/12:42:5 Arduino 0: 0: 287.93,1: 279.49,2: 271.76,3: 264.02,4: 255.59,5: 248.20,6: 239.77
Time: 18/12:42:5 Arduino 0: 0: 291.09,1: 282.66,2: 273.16,3: 265.78,4: 257.70,5: 249.26,6: 241.88
Time: 18/12:42:6 Arduino 0: 0: 292.85,1: 284.77,2: 275.98,3: 267.19,4: 259.45,5: 251.37,6: 242.58
Time: 18/12:42:6 Arduino 0: 0: 294.96,1: 286.52,2: 277.38,3: 270.00,4: 260.86,5: 252.77,6: 245.04
Time: 18/12:42:6 Arduino 0: 0: 294.96,1: 287.93,2: 279.14,3: 270.70,4: 262.97,5: 254.18,6: 246.09
Time: 18/12:42:6 Arduino 0: 0: 286.52,1: 279.84,2: 274.22,3: 267.89,4: 260.16,5: 252.77,6: 245.74
Time: 18/12:42:6 Arduino 0: 0: 264.38,1: 264.38,2: 262.27,3: 259.45,4: 255.23,5: 248.55,6: 243.28
Time: 18/12:42:6 Arduino 0: 0: 261.91,1: 258.75,2: 256.29,3: 253.13,4: 248.55,5: 244.69,6: 239.06
Time: 18/12:42:6 Arduino 0: 0: 261.56,1: 257.34,2: 252.07,3: 248.91,4: 245.04,5: 240.12,6: 236.25
Time: 18/12:42:6 Arduino 0: 0: 261.21,1: 256.29,2: 251.72,3: 246.80,4: 242.58,5: 238.36,6: 233.09
Time: 18/12:42:6 Arduino 0: 0: 261.91,1: 256.64,2: 250.31,3: 246.45,4: 241.17,5: 236.25,6: 232.03
Time: 18/12:42:6 Arduino 0: 0: 260.86,1: 255.94,2: 250.66,3: 245.04,4: 240.47,5: 235.55,6: 230.27
Time: 18/12:42:6 Arduino 0: 0: 261.21,1: 256.29,2: 250.31,3: 245.39,4: 239.41,5: 234.84,6: 229.92
Time: 18/12:42:6 Arduino 0: 0: 261.21,1: 256.99,2: 251.02,3: 245.04,4: 240.12,5: 234.14,6: 229.57
Time: 18/12:42:6 Arduino 0: 0: 261.91,1: 256.29,2: 251.02,3: 245.74,4: 239.41,5: 234.49,6: 229.22
