Time: 18/13:33:48 Arduino 0: 
Time: 18/13:33:53 Arduino 0: 0: 296.72,1: 289.34,2: 280.20,3: 271.76,4: 263.67,5: 254.18,6: 246.80
Time: 18/13:33:53 Arduino 0: 0: 296.72,1: 288.63,2: 281.25,3: 273.16,4: 263.67,5: 256.29,6: 247.50
Time: 18/13:33:53 Arduino 0: 0: 295.66,1: 289.34,2: 280.20,3: 273.52,4: 265.43,5: 255.94,6: 249.26
Time: 18/13:33:53 Arduino 0: 0: 296.02,1: 288.28,2: 281.25,3: 273.52,4: 265.08,5: 257.34,6: 248.20
Time: 18/13:33:53 Arduino 0: 0: 295.31,1: 289.34,2: 280.55,3: 273.87,4: 265.43,5: 256.99,6: 249.96
Time: 18/13:33:53 Arduino 0: 0: 295.66,1: 288.63,2: 280.90,3: 272.81,4: 265.78,5: 257.70,6: 249.26
Time: 18/13:33:53 Arduino 0: 0: 296.02,1: 288.63,2: 280.20,3: 273.87,4: 264.73,5: 257.34,6: 250.31
Time: 18/13:33:53 Arduino 0: 0: 295.66,1: 289.34,2: 280.90,3: 273.16,4: 266.13,5: 257.34,6: 249.96
Time: 18/13:33:53 Arduino 0: 0: 295.31,1: 288.28,2: 280.90,3: 274.22,4: 265.08,5: 258.40,6: 250.31
Time: 18/13:33:53 Arduino 0: 0: 296.02,1: 287.93,2: 279.49,3: 272.81,4: 265.78,5: 256.64,6: 250.66
Time: 18/13:33:53 Arduino 0: 0: 274.92,1: 271.41,2: 269.30,3: 265.78,4: 259.80,5: 254.18,6: 246.80
Time: 18/13:33:53 Arduino 0: 0: 262.97,1: 262.27,2: 259.10,3: 258.05,4: 253.48,5: 248.55,6: 244.34
Time: 18/13:33:54 Arduino 0: 0: 262.97,1: 258.75,2: 255.59,3: 251.37,4: 248.55,5: 244.69,6: 239.06
Time: 18/13:33:54 Arduino 0: 0: 262.62,1: 259.10,2: 252.77,3: 249.61,4: 245.04,5: 241.17,6: 237.30
Time: 18/13:33:54 Arduino 0: 0: 262.62,1: 258.05,2: 253.13,3: 247.50,4: 243.63,5: 239.06,6: 234.49
Time: 18/13:33:54 Arduino 0: 0: 262.62,1: 258.05,2: 252.42,3: 247.85,4: 241.88,5: 237.66,6: 233.79
Time: 18/13:33:54 Arduino 0: 0: 262.62,1: 258.05,2: 252.07,3: 247.15,4: 242.58,5: 236.25,6: 232.73
Time: 18/13:33:54 Arduino 0: 0: 262.97,1: 257.34,2: 252.42,3: 247.50,4: 241.17,5: 236.95,6: 231.33
