Time: 19/19:1:6 Arduino 0: 
Time: 19/19:1:12 Arduino 0: 0: 266.84,1: 259.45,2: 253.83,3: 251.37,4: 246.09,5: 240.82,6: 237.66
Time: 19/19:1:12 Arduino 0: 0: 263.32,1: 259.10,2: 255.94,3: 249.96,4: 245.74,5: 241.52,6: 236.60
Time: 19/19:1:12 Arduino 0: 0: 263.67,1: 259.10,2: 254.18,3: 250.66,4: 245.39,5: 241.17,6: 237.30
Time: 19/19:1:12 Arduino 0: 0: 262.97,1: 259.10,2: 254.53,3: 249.61,4: 246.09,5: 240.82,6: 236.60
Time: 19/19:1:12 Arduino 0: 0: 262.97,1: 258.75,2: 254.18,3: 250.31,4: 245.04,5: 241.17,6: 236.60
Time: 19/19:1:12 Arduino 0: 0: 262.97,1: 259.10,2: 254.18,3: 249.96,4: 245.74,5: 240.47,6: 236.95
Time: 19/19:1:13 Arduino 0: 0: 263.67,1: 258.75,2: 254.88,3: 250.31,4: 245.74,5: 241.52,6: 235.90
Time: 19/19:1:13 Arduino 0: 0: 263.32,1: 259.10,2: 254.53,3: 250.31,4: 245.74,5: 240.47,6: 237.30
Time: 19/19:1:13 Arduino 0: 0: 263.67,1: 258.75,2: 254.88,3: 249.61,4: 245.39,5: 241.17,6: 235.90
Time: 19/19:1:13 Arduino 0: 0: 263.32,1: 258.75,2: 253.83,3: 250.31,4: 245.04,5: 240.47,6: 236.95
Time: 19/19:1:13 Arduino 0: 0: 263.32,1: 258.75,2: 254.53,3: 249.26,4: 245.74,5: 240.82,6: 235.90
Time: 19/19:1:13 Arduino 0: 0: 262.97,1: 258.75,2: 254.18,3: 250.31,4: 244.69,5: 240.82,6: 236.25
Time: 19/19:1:13 Arduino 0: 0: 263.32,1: 259.45,2: 254.18,3: 249.61,4: 245.74,5: 240.12,6: 236.60
Time: 19/19:1:13 Arduino 0: 0: 263.32,1: 258.75,2: 254.53,3: 250.31,4: 245.04,5: 241.17,6: 235.90
Time: 19/19:1:13 Arduino 0: 0: 262.97,1: 259.10,2: 253.83,3: 249.96,4: 245.74,5: 240.12,6: 236.95
Time: 19/19:1:13 Arduino 0: 0: 264.02,1: 259.45,2: 254.88,3: 249.96,4: 245.39,5: 241.17,6: 235.90
Time: 19/19:1:13 Arduino 0: 0: 267.19,1: 261.91,2: 255.94,3: 251.72,4: 246.09,5: 241.17,6: 237.66
Time: 19/19:1:13 Arduino 0: 0: 269.65,1: 264.38,2: 259.10,3: 252.77,4: 248.20,5: 242.58,6: 236.95
Time: 19/19:1:13 Arduino 0: 0: 272.81,1: 267.19,2: 260.86,3: 255.94,4: 248.91,5: 243.98,6: 239.06
Time: 19/19:1:13 Arduino 0: 0: 276.68,1: 270.70,2: 264.02,3: 257.70,4: 252.42,5: 245.39,6: 240.47
Time: 19/19:1:14 Arduino 0: 0: 279.14,1: 272.46,2: 266.84,3: 260.86,4: 253.48,5: 248.20,6: 241.88
Time: 19/19:1:14 Arduino 0: 0: 281.60,1: 275.98,2: 268.95,3: 262.62,4: 256.64,5: 249.26,6: 243.98
Time: 19/19:1:14 Arduino 0: 0: 284.77,1: 278.09,2: 271.76,3: 265.08,4: 258.05,5: 252.07,6: 244.69
Time: 19/19:1:14 Arduino 0: 0: 286.88,1: 280.90,2: 273.16,3: 267.54,4: 260.51,5: 253.13,6: 247.85
Time: 19/19:1:14 Arduino 0: 0: 289.69,1: 283.01,2: 276.33,3: 268.95,4: 262.62,5: 255.59,6: 248.20
Time: 19/19:1:14 Arduino 0: 0: 292.15,1: 285.82,2: 278.09,3: 272.11,4: 264.02,5: 256.99,6: 251.02
Time: 19/19:1:14 Arduino 0: 0: 295.66,1: 289.34,2: 281.25,3: 273.87,4: 267.19,5: 259.10,6: 252.07
Time: 19/19:1:14 Arduino 0: 0: 298.48,1: 291.45,2: 284.06,3: 277.38,4: 268.59,5: 261.91,6: 254.18
Time: 19/19:1:14 Arduino 0: 0: 301.29,1: 294.61,2: 286.52,3: 279.14,4: 272.11,5: 262.97,6: 256.29
Time: 19/19:1:14 Arduino 0: 0: 300.94,1: 294.26,2: 287.93,3: 280.90,4: 272.81,5: 265.78,6: 256.99
Time: 19/19:1:14 Arduino 0: 0: 300.59,1: 295.31,2: 287.58,3: 281.95,4: 274.57,5: 265.78,6: 259.80
Time: 19/19:1:14 Arduino 0: 0: 300.59,1: 294.26,2: 288.63,3: 281.60,4: 274.92,5: 267.54,6: 259.10
Time: 19/19:1:14 Arduino 0: 0: 299.18,1: 294.61,2: 287.93,3: 282.66,4: 274.92,5: 267.54,6: 260.86
Time: 19/19:1:15 Arduino 0: 0: 299.88,1: 294.96,2: 288.63,3: 281.95,4: 275.98,5: 267.89,6: 260.51
Time: 19/19:1:15 Arduino 0: 0: 299.88,1: 294.96,2: 288.98,3: 283.36,4: 275.27,5: 268.59,6: 261.56
Time: 19/19:1:15 Arduino 0: 0: 290.04,1: 286.17,2: 282.30,3: 278.09,4: 273.52,5: 265.78,6: 260.16
Time: 19/19:1:15 Arduino 0: 0: 266.48,1: 268.24,2: 269.30,3: 268.24,4: 264.73,5: 261.21,6: 255.59
Time: 19/19:1:15 Arduino 0: 0: 262.62,1: 261.91,2: 260.16,3: 259.80,4: 258.05,5: 254.18,6: 252.42
Time: 19/19:1:15 Arduino 0: 0: 262.97,1: 259.45,2: 256.99,3: 254.53,4: 252.07,5: 250.31,6: 246.45
Time: 19/19:1:15 Arduino 0: 0: 263.32,1: 259.45,2: 254.88,3: 252.77,4: 249.26,5: 246.09,6: 244.34
Time: 19/19:1:15 Arduino 0: 0: 262.62,1: 259.10,2: 254.88,3: 250.66,4: 247.85,5: 244.34,6: 240.82
Time: 19/19:1:15 Arduino 0: 0: 263.32,1: 259.10,2: 254.53,3: 251.37,4: 246.09,5: 243.28,6: 240.12
Time: 19/19:1:15 Arduino 0: 0: 263.32,1: 259.45,2: 254.88,3: 250.31,4: 246.80,5: 242.23,6: 239.06
Time: 19/19:1:15 Arduino 0: 0: 262.62,1: 258.75,2: 254.88,3: 250.66,4: 245.74,5: 242.58,6: 238.01
Time: 19/19:1:15 Arduino 0: 0: 263.32,1: 259.45,2: 254.18,3: 250.31,4: 246.45,5: 241.17,6: 238.71
Time: 19/19:1:15 Arduino 0: 0: 262.97,1: 258.75,2: 254.88,3: 250.31,4: 245.74,5: 242.23,6: 236.95
Time: 19/19:1:15 Arduino 0: 0: 263.32,1: 259.10,2: 253.83,3: 250.66,4: 246.09,5: 241.17,6: 238.36
Time: 19/19:1:16 Arduino 0: 0: 263.32,1: 259.10,2: 254.88,3: 249.61,4: 246.09,5: 241.52,6: 236.60
Time: 19/19:1:16 Arduino 0: 0: 264.02,1: 259.10,2: 254.18,3: 250.66,4: 245.39,5: 241.17,6: 237.66
Time: 19/19:1:16 Arduino 0: 0: 263.32,1: 258.75,2: 254.53,3: 249.61,4: 246.09,5: 241.17,6: 236.95
