Time: 3/20:56:37 Arduino 0: 0: 264.02,1: 255.23,2: 246.45,3: 237.66,4: 227.81,5: 219.38,6: 210.59
Time: 3/20:56:37 Arduino 0: 0: 266.84,1: 258.05,2: 248.20,3: 239.06,4: 230.27,5: 220.08,6: 211.64
Time: 3/20:56:37 Arduino 0: 0: 269.65,1: 260.16,2: 250.66,3: 241.17,4: 230.98,5: 222.19,6: 211.99
Time: 3/20:56:37 Arduino 0: 0: 273.16,1: 263.32,2: 252.42,3: 242.93,4: 233.44,5: 222.89,6: 214.10
Time: 3/20:56:37 Arduino 0: 0: 275.63,1: 265.43,2: 255.23,3: 244.34,4: 234.49,5: 225.00,6: 214.45
Time: 3/20:56:38 Arduino 0: 0: 277.73,1: 267.89,2: 256.64,3: 246.80,4: 235.90,5: 226.05,6: 216.56
Time: 3/20:56:38 Arduino 0: 0: 280.90,1: 270.00,2: 259.10,3: 248.20,4: 238.01,5: 227.46,6: 217.27
Time: 3/20:56:38 Arduino 0: 0: 283.01,1: 272.46,2: 261.21,3: 251.02,4: 239.06,5: 229.22,6: 219.02
Time: 3/20:56:38 Arduino 0: 0: 285.47,1: 274.92,2: 263.32,3: 252.07,4: 241.52,5: 230.27,6: 220.08
Time: 3/20:56:38 Arduino 0: 0: 287.93,1: 277.03,2: 265.43,3: 254.53,4: 242.58,5: 232.38,6: 221.13
Time: 3/20:56:38 Arduino 0: 0: 288.28,1: 277.73,2: 265.43,3: 254.88,4: 244.34,5: 232.73,6: 222.54
Time: 3/20:56:38 Arduino 0: 0: 287.58,1: 277.03,2: 266.13,3: 255.23,4: 244.34,5: 234.49,6: 222.89
Time: 3/20:56:38 Arduino 0: 0: 286.88,1: 277.73,2: 265.78,3: 255.94,4: 245.04,5: 234.14,6: 224.30
Time: 3/20:56:38 Arduino 0: 0: 286.88,1: 277.03,2: 266.48,3: 255.59,4: 245.39,5: 235.20,6: 223.95
Time: 3/20:56:38 Arduino 0: 0: 283.71,1: 273.16,2: 262.97,3: 254.18,4: 243.63,5: 233.79,6: 224.30
Time: 3/20:56:38 Arduino 0: 0: 261.91,1: 256.99,2: 252.07,3: 245.39,4: 238.36,5: 229.92,6: 221.13
Time: 3/20:56:38 Arduino 0: 0: 251.37,1: 249.26,2: 244.69,3: 239.77,4: 233.09,5: 226.41,6: 218.67
Time: 3/20:56:38 Arduino 0: 0: 251.02,1: 247.15,2: 241.52,3: 236.25,4: 230.63,5: 222.89,6: 216.21
Time: 3/20:56:39 Arduino 0: 0: 251.37,1: 246.09,2: 240.47,3: 234.49,4: 228.16,5: 221.84,6: 213.75
Time: 3/20:56:39 Arduino 0: 0: 251.72,1: 246.09,2: 239.06,3: 233.44,4: 227.46,5: 219.73,6: 213.05
Time: 3/20:56:39 Arduino 0: 0: 251.37,1: 245.74,2: 239.41,3: 232.38,4: 226.05,5: 219.38,6: 211.29
Time: 3/20:56:39 Arduino 0: 0: 251.37,1: 245.74,2: 238.71,3: 232.38,4: 225.00,5: 217.97,6: 211.29
Time: 3/20:56:39 Arduino 0: 0: 251.72,1: 245.39,2: 239.06,3: 231.33,4: 225.00,5: 217.97,6: 210.23
Time: 3/20:56:39 Arduino 0: 0: 251.37,1: 245.04,2: 238.36,3: 231.68,4: 223.95,5: 217.27,6: 209.88
Time: 3/20:56:39 Arduino 0: 0: 252.07,1: 245.39,2: 238.36,3: 230.98,4: 224.30,5: 216.21,6: 209.18
Time: 3/20:56:39 Arduino 0: 0: 251.72,1: 244.69,2: 238.36,3: 231.33,4: 223.59,5: 216.56,6: 208.48
Time: 3/20:56:39 Arduino 0: 0: 252.07,1: 245.04,2: 237.66,3: 230.98,4: 223.95,5: 215.51,6: 208.48
Time: 3/20:56:39 Arduino 0: 0: 251.02,1: 245.04,2: 238.36,3: 230.63,4: 223.24,5: 216.21,6: 207.42
Time: 3/20:56:39 Arduino 0: 0: 252.77,1: 246.45,2: 238.36,3: 231.68,4: 223.95,5: 215.51,6: 208.83
Time: 3/20:56:39 Arduino 0: 0: 255.59,1: 248.55,2: 240.82,3: 232.38,4: 224.65,5: 216.91,6: 208.13
Time: 3/20:56:39 Arduino 0: 0: 258.40,1: 251.37,2: 242.23,3: 234.49,4: 225.35,5: 217.27,6: 209.53
Time: 3/20:56:39 Arduino 0: 0: 261.21,1: 253.48,2: 244.69,3: 235.55,4: 227.46,5: 218.32,6: 209.88
Time: 3/20:56:40 Arduino 0: 0: 264.38,1: 255.94,2: 246.45,3: 238.01,4: 228.16,5: 219.73,6: 210.94
Time: 3/20:56:40 Arduino 0: 0: 267.54,1: 258.05,2: 248.55,3: 239.06,4: 230.27,5: 220.08,6: 211.99
Time: 3/20:56:40 Arduino 0: 0: 269.65,1: 260.86,2: 251.37,3: 241.52,4: 231.33,5: 222.54,6: 212.34
Time: 3/20:56:40 Arduino 0: 0: 273.16,1: 263.67,2: 253.13,3: 243.28,4: 233.79,5: 223.24,6: 214.45
Time: 3/20:56:40 Arduino 0: 0: 275.27,1: 265.43,2: 255.59,3: 244.69,4: 234.84,5: 225.35,6: 214.80
Time: 3/20:56:40 Arduino 0: 0: 278.09,1: 268.24,2: 256.99,3: 247.15,4: 236.60,5: 226.41,6: 216.91
